titles,links
"Dịch COVID-19: Đường bờ biển dài 254 km, Cà Mau chống dịch ra sao?",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2443
"COVID-19 có nguy cơ bùng phát, Thủ tướng Chính phủ ra công điện tăng cường phòng chống dịch",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2442
Cả nước có hơn 176.000 người được tiêm vaccine COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2441
"Yên Bái, Thái Bình phát hiện 2 ca nhập cảnh mắc COVID-19",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2440
Kỷ lục: Gần 47.000 người Việt được tiêm chủng vắc xin COVID-19 trong 1 ngày,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2438
"Sáng 24/4: Việt Nam thêm 2 ca mắc COVID-19, thế giới đã trên 146,1 triệu ca",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2437
Thủ tướng: Tăng cường quản lý các chuyến bay đưa người nhập cảnh Việt Nam,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2436
Yên Bái tiếp tục ghi nhận ca COVID-19 từ đoàn chuyên gia Ấn Độ,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2435
"Thứ trưởng Bộ Y tế kiểm tra phòng dịch ở Sóc Trăng, Bạc Liêu, Cà Mau: Nguy cơ lây nhiễm COVID-19 luôn hiện hữu",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2433
Chiều 23/4: Cô gái ở Hà Nội và 5 người vừa về nước phát hiện mắc COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2432
"Nguy cơ dịch COVID-19 luôn hiện hữu, Bạc Liêu cần nâng cao mức độ phòng, chống",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2431
"Hà Nội: Đồng loạt tiêm vaccine COVID-19 đợt 2 tại 14 quận, huyện",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2430
"Dịch COVID-19 diễn biến phức tạp, phải siết chặt lại trước nguy cơ rất lớn",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2428
[Graphic] Những điều cần biết khi tiêm chủng vắc xin phòng COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2426
"Phó Thủ tương Vũ Đức Đam: Tăng cường tuần tra dịp lễ, ngăn chặn nhập cảnh trái phép",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2427
Phú Thọ tiêm vắc xin phòng COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2425
"Bộ Y tế ban hành Hướng dẫn chẩn đoán, điều trị hội chứng giảm tiểu cầu, huyết khối sau tiêm vaccine COVID-19",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2423
Giám đốc bệnh viện cùng 200 cán bộ y tế đầu tiên của Thái Nguyên tiêm vắc xin COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2422
Các địa phương đảm bảo an toàn tiêm chủng vắc-xin COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2421
Khách đứng giãn cách khi làm thủ tục tại sân bay để phòng COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2420
Hơn 2 vạn người ở 25 tỉnh/thành được tiêm vaccine COVID-19 trong 1 ngày,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2418
Phát hiện thêm 8 ca mắc mới COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2417
Nguy cơ lây nhiễm COVID-19 tại khu vực Tây Nam Bộ ở mức rất cao,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2416
"Bộ GTVT chấn chỉnh công tác phòng dịch tại sân bay, từ chối vận chuyển khách không thực hiện khai báo y tế",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2415
"Đồng Tháp cần giữ vững biên giới, xử lý nghiêm đối tượng nhập cảnh trái phép",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2413
Chiều 22/4: Hà Nội và 2 tỉnh phát hiện 4 ca mắc mới COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2411
Tiêm vắc xin phòng COVID-19 cho lực lượng tuyến đầu Cần Thơ,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2410
Việt Nam sẵn sàng hỗ trợ Campuchia phòng chống dịch COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2409
Khu vực Tây Nam Bộ phải chuẩn bị cho tình huống phức tạp trong ứng phó dịch COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2407
"3 người nhập cảnh trái phép, đi máy bay ra Hà Nội đã âm tính lần 1",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2406
TP.HCM: Truy vết 3 người nhập cảnh trái phép từ Campuchia,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2405
"Sáng 22/4: Phát hiện 6 ca mắc mới COVID-19, gần 109.000 người Việt đã tiêm vaccine",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2404
Phú Thọ đã sẵn sàng tiêm chủng vắc xin phòng COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2402
Nghệ An: Chưa ghi nhận phản ứng nặng sau tiêm vắc-xin phòng COVID-19,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2401
Sáng 21/4: Không có thêm bệnh nhân COVID-19; Gần 107.000 người Việt Nam đã tiêm vắc xin,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2400
Thanh Hóa: Chuẩn bị tiêm vaccine COVID-19 cho hơn 20.000 người,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2399
"Nghệ An tổ chức tiêm vaccine COVID-19 cho các cán bộ, y bác sĩ tuyến đầu chống dịch",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2397
"Ngày 22/4/2021, Yên Bái sẽ thực hiện tiêm vaccine COVID-19 đầu tiên",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2396
PGS.TS Trần Đắc Phu: Bộ Y tế phản ứng rất nhanh với Kiên Giang để tránh bị động,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2394
Đắk Lắk sẽ triển khai tiêm phòng COVID-19 toàn tỉnh từ ngày 25/4 đến ngày 15/5/2021,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2393
"Lào Cai, tiếp nhận thêm 1.300 liều vắc xin để tiêm phòng COVID-19 đợt 2",https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2392
Nghệ An ghi nhận 1 ca dương tính với SARS-Cov2 trong khu cách ly,https://ncov.moh.gov.vn/vi/web/guest/-/6847426-2391
